codigo,nombre,categoria,estado,municipio,altitud,longitud,latitud,fecha_instalacion,fecha_suspension
2403500367,ESTACIÓN ENTRADA LAGO SOCHAGOTA - AUT [2403500367],Climatológica Ordinaria,Activa,Paipa,2492,-73.118630833,5.758106389,2016-10-09,
24035290,CHUSCAL EL  [24035290],Climatológica Ordinaria,Activa,Monguí,3500,-72.8,5.716666667,1997-11-15,
23120080,BORBUR 1 [23120080],Pluviométrica,Suspendida,San Pablo De Borbur,830,-74.06666667,5.65,1959-11-15,
35085050,CAMPOHERMOSO [35085050],Climatológica Ordinaria,Activa,Campohermoso,1300,-73.10366667,5.0345,1986-11-15,
24010710,MONIQUIRA [24010710],Pluviométrica,Activa,Moniquirá,1764,-73.57641667,5.852166667,1974-04-15,
24015310,SAN MIGUEL DE SEMA  [24015310],Climatológica Ordinaria,Activa,San Miguel De Sema,2600,-73.71666667,5.516666667,1984-11-15,
24030250,CHITA  [24030250],Pluviométrica,Suspendida,Chita,3005,-72.48333333,6.183333333,1958-03-15,
24035080,PAIPA I A  [24035080],Climatológica Ordinaria,Suspendida,Paipa,3100,-73.23333333,5.833333333,1938-06-15,
24030350,DUITAMA [24030350],Pluviográfica,Activa,Duitama,2540,-73.04461111,5.830083333,1959-01-15,
24035508,SAN ANTONIO-24035508  - AUT  [24035508],Pluviométrica,Activa,Tuta,2609,-73.23536111,5.698361111,,
24030940,SENA [24030940],Pluviográfica,Activa,Sogamoso,2500,-72.90788889,5.756055556,1981-04-15,
35070320,MARTOTA [35070320],Pluviométrica,Activa,Somondoco,2620,-73.43608333,4.936472222,1996-07-15,
35160000,LAS CINTAS [35160000],Pluviométrica,Activa,Sogamoso,3400,-72.86747222,5.614277778,2016-12-31,
35070190,CHIVOR [35070190],Pluviográfica,Activa,Chivor,1850,-73.36673611,4.886361111,1962-02-15,
24030430,BELENCITO  [24030430],Pluviométrica,Suspendida,Nobsa,2520,-72.88333333,5.783333333,1964-02-15,
23120280,BUENAVISTA  [23120280],Pluviométrica,Suspendida,Buenavista,2200,-73.98333333,5.55,1942-05-15,
24015360,SABOYA LA GRANJA [24015360],Climatológica Ordinaria,Activa,Saboyá,2550,-73.759,5.696222222,2009-05-25,
35080030,CAMP BUENAVISTA [35080030],Pluviométrica,Activa,Berbeo,1370,-73.08672222,5.183722222,1962-02-15,
35080010,ZETAQUIRA [35080010],Pluviométrica,Activa,Zetaquirá,1720,-73.16927778,5.282972222,1957-06-15,
24011000,GACHANECA  [24011000],Pluviométrica,Suspendida,Samacá,3393,-73.55,5.466666667,1956-01-15,
35070290,TENZA [35070290],Pluviométrica,Suspendida,Tenza,1507,-73.41666667,5.083333333,1929-08-15,
24031010,COCUY EL [24031010],Pluviométrica,Suspendida,El Cocuy,2749,-72.44544444,6.408222222,1934-01-15,
24035230,JESUITAS  [24035230],Climatológica Ordinaria,Suspendida,Santa Rosa De Viterbo,2520,-72.98333333,5.883333333,1962-07-15,
24035190,SAN JOSE  [24035190],Climatológica Ordinaria,Activa,Siachoque,3250,-73.2,5.466666667,1997-11-15,
35085040,VIVERO EL [35085040],Climatológica Ordinaria,Activa,Miraflores,1640,-73.14477778,5.192555556,1984-06-15,
24035180,SAN RAFAEL [24035180],Climatológica Ordinaria,Suspendida,Nobsa,2548,-72.983333333,5.783333333,2003-08-15,
35080060,CEDROS LOS [35080060],Pluviométrica,Activa,Campohermoso,1600,-73.20344444,5.013611111,1975-12-15,
2403500362,ESTACIÓN PLAYA ABAJO - AUT [2403500362],Climatológica Ordinaria,Activa,Tuta,2455,-73.245829167,5.699410833,2016-10-09,
23120210,COPER [23120210],Pluviométrica,Activa,Coper,986,-74.04591667,5.474666667,1980-08-15,
24035250,CHITA  - AUT [24035250],Climatológica Ordinaria,Activa,Chita,2961,-72.46556,6.18778,1970-12-15,
35090060,CAZADERO [35090060],Pluviométrica,Activa,Aquitania,1725,-72.98333333,5.283333333,1981-04-15,
24035030,SOGAMOSO  [24035030],Climatológica Ordinaria,Suspendida,Sogamoso,2570,-72.93333333,5.716666667,1926-05-15,
2403500361,ESTACIÓN PTAR -AUT [2403500361],Climatológica Ordinaria,Activa,Oicatá,2625,-73.320511944,5.583747778,2016-10-09,
35195060,TOQUILLA - AUT [35195060],Climatológica Ordinaria,Activa,Aquitania,2950,-72.79097222,5.523611111,2016-12-15,
24030170,SOCOTA [24030170],Pluviométrica,Suspendida,Socotá,2443,-72.63333333,6.033333333,1957-10-15,
24011130,BRASILIA FINCA [24011130],Pluviométrica,Suspendida,San Miguel De Sema,2550,-73.73333333,5.55,1992-05-15,
24010460,STA SOFIA  [24010460],Pluviométrica,Activa,Santa Sofía,2370,-73.6,5.716666667,1965-12-15,
24030010,SOATA  [24030010],Pluviométrica,Suspendida,Soatá,1950,-72.68333333,6.333333333,1930-04-15,
35090100,EL ALISAL [35090100],Pluviométrica,Activa,Aquitania,3700,-72.98333333,5.433333333,1989-09-15,
24030700,COVARACHIA [24030700],Pluviométrica,Activa,Covarachía,2400,-72.73294444,6.51475,1974-06-15,
24030910,SEMINARIO  [24030910],Pluviométrica,Suspendida,Tunja,2690,-73.33333333,5.55,1923-01-15,
24010260,CANDELARIA LA  [24010260],Pluviográfica,Activa,Ráquira,2320,-73.6,5.516666667,1960-03-15,
24030190,MONGUI [24030190],Pluviométrica,Activa,Monguí,2970,-72.84786111,5.724555556,1958-02-15,
23120120,STA RITA  [23120120],Pluviométrica,Activa,Pauna,2800,-73.91666667,5.6,1961-04-15,
2403500372,ESTACIÓN EL MOLINO - AUT [2403500372],Climatológica Ordinaria,Activa,Gámeza,2479,-72.813796111,5.789774444,2016-10-09,
24030610,EMPODUITAMA [24030610],Pluviométrica,Suspendida,Duitama,2590,-73.05,5.85,1972-06-15,
35070040,TIBANA [35070040],Pluviométrica,Activa,Tibaná,2115,-73.39594444,5.315277778,1958-09-15,
24030390,PTE PINZON  [24030390],Pluviométrica,Activa,Boavita,1500,-72.63333333,6.316666667,1963-01-15,
3516500203,ALISAL [3516500203],Pluviométrica,Activa,Aquitania,3448,-72.966666667,5.459722222,2021-01-25,
35080100,PUENTE FORERO [35080100],Pluviométrica,Activa,Garagoa,1790,-73.25141667,5.101388889,1977-06-15,
35070450,SITIO PRESA [35070450],Pluviométrica,Suspendida,Santa María,1210,-73.3,4.9,1972-02-15,
24030640,NIMICIA ESCUELA RURAL [24030640],Pluviométrica,Activa,Gámeza,3200,-72.76980556,5.782361111,1974-06-15,
35070580,RAMIRIQUI  - AUT  [35070580],Pluviográfica,Activa,Ramiriquí,2360,-73.33333333,5.4,2008-07-01,
35095030,TUNEL EL [35095030],Climatológica Ordinaria,Activa,Cuítiva,30,-72.94769444,5.574913889,1971-02-15,
24010030,COL JESUS MARIA JO  [24010030],Pluviométrica,Suspendida,Chiquinquirá,2525,-73.8,5.616666667,1930-01-15,
35070070,CHINAVITA [35070070],Pluviométrica,Activa,Chinavita,1900,-73.36425,5.164861111,1955-09-15,
23125080,OTANCHE [23125080],Climatológica Ordinaria,Activa,Otanche,1100,-74.18461111,5.661722222,1975-03-15,
35090070,GUAMO DE SISBACA [35090070],Pluviométrica,Activa,Aquitania,2575,-72.91666667,5.366666667,1981-06-15,
35070200,CARACOL EL [35070200],Pluviométrica,Suspendida,Garagoa,1600,-73.38333333,5.05,1979-12-15,
24035160,ESPERANZA LA  [24035160],Climatológica Ordinaria,Activa,Sativanorte,3225,-72.88333333,6.1,1997-11-15,
24030570,APOSENTOS [24030570],Pluviométrica,Activa,Socotá,2328,-72.63533333,6.062083333,1971-05-15,
35070180,SANTA MARIA [35070180],Pluviográfica,Activa,Santa María,850,-73.25675,4.860777778,1957-01-15,
24030540,FIRAVITOBA [24030540],Pluviométrica,Activa,Firavitoba,2486,-72.97827778,5.664527778,1971-04-15,
35070240,SALITRE  [35070240],Pluviométrica,Suspendida,Guateque,2000,-73.55,5.033333333,1929-08-15,
24030410,TIBASOSA [24030410],Pluviométrica,Activa,Tibasosa,2500,-73.00491667,5.743833333,1964-01-15,
24015010,GACHANECA REPRESA  [24015010],Climatológica Ordinaria,Suspendida,Samacá,3400,-73.48333333,5.5,1931-04-15,
35085030,PAEZ [35085030],Climatológica Ordinaria,Suspendida,Páez,1475,-73.05,5.1,1972-02-15,
24031020,TOCA  [24031020],Pluviométrica,Suspendida,Toca,2800,-73.16666667,5.566666667,1938-06-15,
35070520,POMARROSOS LOS [35070520],Pluviográfica,Activa,Macanal,1780,-73.35036111,4.931416667,1982-08-15,
24035310,CHISCAS [24035310],Climatológica Ordinaria,Activa,Chiscas,2350,-72.50472222,6.549527778,1974-06-15,
35080020,MIRAFLORES  [35080020],Pluviométrica,Activa,Miraflores,1570,-73.18333333,5.2,1954-05-15,
24010420,CALDAS  [24010420],Pluviométrica,Activa,Caldas,2655,-73.86666667,5.55,1964-11-15,
24010320,SAN MIGUEL DE SEMA  [24010320],Pluviométrica,Suspendida,San Miguel De Sema,2600,-73.71666667,5.516666667,1961-04-15,
35085020,RONDON [35085020],Climatológica Ordinaria,Activa,Rondón,2120,-73.20361111,5.358416667,1970-12-15,
24035050,MOLINO EL  [24035050],Climatológica Ordinaria,Suspendida,Siachoque,2700,-73.23333333,5.516666667,1931-05-15,
24010180,RAQUIRA [24010180],Pluviométrica,Activa,Ráquira,2290,-73.63136111,5.538777778,1958-01-15,
24010290,SUTAMARCHAN  [24010290],Pluviométrica,Activa,Sutamarchán,2090,-73.61666667,5.616666667,1960-05-15,
24030560,MONGUA [24030560],Pluviométrica,Activa,Mongua,2900,-72.7945,5.758388889,1971-04-15,
35070170,NAZARETH [35070170],Pluviométrica,Activa,Santa María,400,-73.2,4.733333333,1972-09-15,
24035100,DUITAMA VIVERO  [24035100],Climatológica Ordinaria,Suspendida,Duitama,2600,-73.05,5.833333333,1941-11-15,
24035240,SIERRA NEVAD COCUY [24035240],Climatológica Ordinaria,Activa,Guicán,3716,-72.37519444,6.410083333,1974-05-15,
24030920,TUNJA  [24030920],Pluviométrica,Suspendida,Tunja,2700,-73.4,5.55,1962-04-15,
35070510,SAN RAFAEL [35070510],Pluviográfica,Suspendida,Almeida,1730,-73.38333333,4.866666667,1982-07-15,
35070080,GARAGOA [35070080],Pluviográfica,Activa,Garagoa,1700,-73.36852778,5.078861111,1959-10-15,
24035320,SATIVANORTE [24035320],Climatológica Ordinaria,Activa,Sativanorte,2594,-72.70483333,6.116861111,1974-06-15,
24010690,TRES ESQUINAS [24010690],Pluviográfica,Suspendida,Santa Sofía,2600,-73.63333333,5.716666667,1986-04-15,
35070300,TENZA [35070300],Pluviométrica,Suspendida,Tenza,1507,-73.41666667,5.083333333,1962-03-15,
24030590,CERINZA [24030590],Pluviométrica,Suspendida,Cerinza,2643,-72.9385,5.96225,1971-08-15,
24010510,ZARZAL EL  [24010510],Pluviométrica,Activa,Ráquira,2900,-73.66666667,5.466666667,1966-08-15,
24030670,SANTA ROSITA [24030670],Pluviométrica,Activa,Sativanorte,3240,-72.771,6.139638889,1974-06-15,
24035507,SOCHA  - AUT  [24035507],Pluviométrica,Activa,Socha,2505,-72.71044444,5.982444444,,
35190090,CUSIANA  [35190090],Pluviométrica,Suspendida,Pajarito,2000,-72.75,5.4,1945-09-15,
24035505,JERICÓ-24035505  - AUT  [24035505],Pluviométrica,Activa,Jericó,2879,-72.59033333,6.140444444,,
24010500,MORRO EL  [24010500],Pluviométrica,Suspendida,Samacá,3410,-73.6,5.433333333,1966-08-15,
24030760,CRUCERO EL VILLITA [24030760],Pluviométrica,Suspendida,Sogamoso,3225,-72.91666667,5.633333333,1969-10-15,
24035506,LA REFORMA-24035506  - AUT  [24035506],Pluviométrica,Activa,Sotaquirá,2552,-73.18980556,5.748722222,,
24010620,LEIVA  [24010620],Pluviométrica,Suspendida,Villa De Leiva,2200,-73.53333333,5.633333333,1931-10-15,
2403500366,ESTACIÓN DESCARGA GENSA - AUT [2403500366],Climatológica Ordinaria,Activa,Paipa,2492,-73.126775,5.772254444,2016-10-09,
24030690,CURITAL [24030690],Pluviométrica,Activa,Socha,3100,-72.64405556,5.988583333,1974-05-15,
24010750,MIRAVALLES [24010750],Pluviométrica,Activa,Moniquirá,1730,-73.60916667,5.925833333,1974-02-15,
23120050,MUZO [23120050],Pluviométrica,Activa,Muzo,850,-74.10122222,5.534805556,1958-06-15,
35060310,QUEBRADA LOS TRABAJOS [35060310],Pluviométrica,Suspendida,Almeida,1800,-73.36666667,4.866666667,1979-09-15,
35080070,SAN LUIS DE GACENO [35080070],Pluviométrica,Activa,San Luis De Gaceno,400,-73.16986111,4.819777778,1975-12-15,
35160010,POTRERITO AUT [35160010],Pluviométrica,Activa,Aquitania,347,-72.94861111,5.477583333,2016-12-31,
2403000117,LA LAGUNA - AUT [2403000117],Pluviométrica,Activa,Guacamayas,2786,-72.497694444,6.447166667,2018-09-01,
24015080,CAMP LA BALSA  [24015080],Climatológica Ordinaria,Suspendida,Chiquinquirá,2545,-73.83333333,5.633333333,1930-02-15,
